SetNumber,ChordName,Notes
1,Cadd9,"E4 D4 G3 C3"
1,C#M9/C,"F4 D#4 C4 C#3"
1,Dm7,"C4 A3 F4 D3"
1,D#M7,"G4 D4 A#3 D#3"
1,Cadd9/E,"G4 D4 C4 E3"
1,FM9,"G4 E4 A3 F2"
1,Dadd9/F#,"E4 D4 A3 F#2"
1,Em7/G,"G4 E4 D4 G2"
1,Fm6/G#,"F4 D4 C4 G#2"
1,FM/A,"F4 C4 A3 A2"
1,Gm/A#,"G4 D4 A#3 A#2"
1,G/B,"G4 D4 B3 B2"
2,CM9,"D4 B3 E3 C3"
2,C#dim7,"E4 A#3 G3 C#3"
2,Dm9,"E4 C4 F3 D3"
2,D# dim7,"F#4 C4 A3 D#3"
2,Em7,"G4 D4 B3 E3"
2,FM9,"G4 E4 A3 F3"
2,F#m7b5,"E4 C4 A3 F#3"
2,F/A,"F4 C4 A3 G2"
2,G# dim7,"F4 D4 B3 G#2"
2,Am9,"G4 C4 B3 A2"
2,C/A#,"E4 C4 G3 A#2"
2,Bm7b5,"F4 D4 A3 B2"
3,D7sus2/C,"D4 A3 E3 C3"
3,C#7#9,"E4 B3 F3 C#3"
3,Dm9,"E4 C4 F3 D3"
3,D7#9,"F#4 C#4 G3 D#3"
3,E7#9,"G4 D4 G#3 E3"
3,FM9,"G4 E4 A3 F3"
3,F#7#9,"A4 E4 A#3 F#3"
3,G7(13),"E4 B3 F3 G2"
3,G#7(13),"F4 C4 F#3 G#2"
3,Am7(11),"D4 C4 G3 A2"
3,A#9,"D4 C4 G#3 A#2"
3,Bm7(11),"E4 D4 A3 B2"
4,Dsus2/C,"D4 A3 E3 C3"
4,C#7#9,"D#4 B3 F3 C#3"
4,Dm9,"E4 C4 F3 D3"
4,D#9,"F4 C#4 G3 D#3"
4,Em9,"F#4 D4 G3 E3"
4,Fm9,"G4 D#4 G#3 F2"
4,F#m7b5,"E4 C4 A3 F#2"
4,Gaug7,"D#4 B3 F3 G2"
4,G#7(13),"F4 C4 F#3 G#2"
4,Aaug7,"F4 C#4 G3 A2"
4,A#7(13),"G4 D4 G#3 A#2"
4,Bm7(11),"E4 D4 A3 B2"
5,CM9,"D4 B3 E3 C3"
5,C#M7,"D#4 C4 F3 C#3"
5,DM9,"E4 C#4 F#3 D3"
5,D#M9,"F4 D4 G3 D#3"
5,EM9,"F#4 D#4 G#3 E3"
5,FM9,"G4 E4 A3 F3"
5,F#M9,"G#4 F4 A#3 F#3"
5,GM9,"A4 F#4 B3 G3"
5,G#M9,"A#4 G4 C4 G#3"
5,AM9,"B4 G#4 C#4 A3"
5,A#M9,"C5 A4 D4 A#3"
5,BM9,"C#5 A#4 D#4 B3"
6,C9,"E4 D4 A#3 C3"
6,C#9,"D#4 B3 F3 C#3"
6,D9,"E4 C4 F#3 D3"
6,D#9,"F4 C#4 G3 D#3"
6,E7#9,"G4 D4 G#3 E3"
6,Fm9,"G4 D#4 A3 F2"
6,F#dim7,"D#4 C4 A3 F#2"
6,G7(13),"E4 B3 F3 G2"
6,G#dim7,"F4 D4 B3 G#2"
6,Aaug7,"F4 C#4 G3 A2"
6,A#7(13),"G4 D4 G#3 A#2"
6,Bm7b5,"F4 D4 A3 B2"
7,C,"C5 G4 E4 C3"
7,C#dim7,"A#4 G4 E4 C#3"
7,Dm,"A4 F4 D4 D3"
7,D#dim7,"C5 A4 F#4 D#3"
7,Em,"B4 G4 E4 E3"
7,F,"C5 A4 F4 F3"
7,F#m7b5,"C5 A4 E4 F#3"
7,G,"B4 G4 D4 G3"
7,G#dim7,"B4 F4 D4 G#3"
7,Am,"C5 A4 E4 A2"
7,A#,"A#4 F4 D4 A#2"
7,Bdim,"B4 F4 D4 B2"
8,Cm,"C5 G4 D#4 C3"
8,C#,"G#4 F4 C#4 C#3"
8,Ddim,"G#4 F4 D4 D3"
8,Eb,"A#4 G4 D#4 D#3"
8,Edim7,"A#4 G4 C#4 E3"
8,Fm,"G#4 F4 C4 F2"
8,F#dim7,"A4 D#4 C4 F#2"
8,Gm,"G4 D4 A#3 G2"
8,G#,"G#4 D#4 C4 G#2"
8,Am7b5,"G4 D#4 C4 A2"
8,A#,"A#4 F4 D4 A#2"
8,Bdim7,"G#4 F4 D4 B2"
9,Cm,"C5 G4 D#4 C3"
9,C#,"G#4 F4 C#4 C#3"
9,Ddim,"G#4 F4 D4 D3"
9,D#aug,"B4 G4 D#4 D#3"
9,Em,"B4 G4 E4 E3"
9,Fm,"G#4 F4 C4 F2"
9,F#dim7,"A4 D#4 C4 F#2"
9,G,"G4 D4 B3 G2"
9,G#,"C4 D#4 G#4 G#2"
9,Am7b5,"G4 D#4 C4 A2"
9,A#,"A#4 F4 D4 A#2"
9,Bdim,"B4 F4 D4 B2"
10,Cmadd9,"G4 D#4 D4 C3"
10,C#M7,"F4 C4 G#3 C#3"
10,Dm7b5,"G#4 F4 C4 D3"
10,D#M7,"G4 D4 A#3 D#3"
10,Edim7,"G4 C#4 A#3 E3"
10,Fm9,"G4 D#4 G#3 F2"
10,F#dim7,"D#4 C4 A3 F#2"
10,Gm7,"F4 D4 A#3 G2"
10,G#M7,"G4 D#4 C4 G#2"
10,Am7b5,"G4 D#4 C4 A2"
10,G#/A#,"D#4 C4 G#3 A#2"
10,Bdim7,"F4 D4 G#3 B2"
11,Cmadd9,"G4 D#4 D4 C3"
11,Gdim/C#,"G4 D#4 A#3 C#3"
11,Dm7b5,"F4 C4 G#3 D3"
11,D#M7,"G4 D4 A#3 D#3"
11,EM9,"F#4 D#4 G#3 E3"
11,Fm9,"G4 D#4 G#3 F2"
11,F#dim7,"D#4 C4 A3 F#2"
11,Gaug7,"D#4 B3 F3 G2"
11,G#M7,"G4 D#4 C4 G#2"
11,Am7b5,"G4 D#4 C4 A2"
11,Cm7/A#,"G4 D#4 C4 A#2"
11,Baug#9,"G4 D#4 D4 B2"
12,Cm7(11),"F4 D#4 A#3 C3"
12,C#7#9,"E4 B3 F3 C#3"
12,Dm7b5,"G#4 F4 C4 D3"
12,D#M7#5,"G4 D4 B3 D#3"
12,E9,"F#4 D4 G#3 E2"
12,F9,"G4 D#4 A3 F2"
12,F#dim7,"D#4 C4 A3 F#2"
12,G7#9,"A#4 F4 B3 G2"
12,G#M7b5,"G4 D4 C4 G#2"
12,Am7b5,"G4 D#4 C4 A2"
12,A#m7,"F4 C#4 G#3 A#2"
12,Bdim7,"F4 D4 G#3 B2"
13,Cm9,"D4 A#3 D#3 C3"
13,C#9,"D#4 B3 F3 C#3"
13,Dm9,"E4 C4 F3 D3"
13,D#9,"F4 C#4 G3 D#3"
13,EM9,"F#4 D#4 G#3 E2"
13,Fm9,"G4 D#4 G#3 F2"
13,F#dim7,"D#4 C4 A3 F#2"
13,G7(13),"E4 B3 F3 G2"
13,G#m6,"F4 D#4 B3 G#2"
13,Am7b5,"G4 D#4 C4 A2"
13,A#m7,"F4 C#4 G#3 A#2"
13,Bm7b5,"F4 D4 A3 B2"
14,C Oct,"C5 C4"
14,C# Oct,"C#5 C#4"
14,D Oct,"D5 D4"
14,D# Oct,"D#5 D#4"
14,E Oct,"E5 E4"
14,F Oct,"F5 F4"
14,F# Oct,"F#5 F#4"
14,G Oct,"G5 G4"
14,G# Oct,"G#5 G#4"
14,A Oct,"A5 A4"
14,A# Oct,"A#5 A#4"
14,B Oct,"B5 B4"
15,C 4th,"F4 C4"
15,C# 4th,"F#4 C#4"
15,D 4th,"G4 D4"
15,D# 4th,"G#4 D#4"
15,E 4th,"A4 E4"
15,F 4th,"A#4 F4"
15,F# 4th,"B4 F#4"
15,G 4th,"C5 G4"
15,G# 4th,"C#5 G#4"
15,A 4th,"D5 A4"
15,A# 4th,"D#5 A#4"
15,B 4th,"E5 B4"
16,C 5th,"G4 C4"
16,C# 5th,"G#4 C#4"
16,D 5th,"A4 D4"
16,D# 5th,"A#4 D#4"
16,E 5th,"B4 E4"
16,F 5th,"C5 F4"
16,F# 5th,"C#5 F#4"
16,G 5th,"D5 G4"
16,G# 5th,"D#5 G#4"
16,A 5th,"E5 A4"
16,A# 5th,"F5 A#4"
16,B 5th,"F#5 B4"
17,C,"G3 E3 C3"
17,C#,"G#3 F3 C#3"
17,D,"A3 F#3 D3"
17,D#,"A#3 G3 D#3"
17,E,"B3 G#3 E3"
17,F,"C4 A3 F3"
17,F#,"C#4 A#3 F#3"
17,G,"D4 B3 G3"
17,G#,"D#4 C4 G#3"
17,A,"E4 C#4 A3"
17,A#,"F4 D4 A#3"
17,B,"F#4 D#4 B3"
18,Cm,"G3 D#3 C3"
18,C#m,"G#3 E3 C#3"
18,Dm,"A3 F3 D3"
18,D#m,"A#3 F#3 D#3"
18,E,"B3 G3 E3"
18,Fm,"C4 G#3 F3"
18,F#m,"C#4 A3 F#3"
18,Gm,"D4 A#3 G3"
18,G#m,"D#4 B3 G#3"
18,Am,"E4 C4 A3"
18,A#m,"F4 C#4 A#3"
18,Bm,"F#4 D4 B3"
19,CM7,"B3 G3 E3 C3"
19,C#M7,"C4 G#3 F3 C#3"
19,DM7,"C#4 A3 F#3 D3"
19,D#M7,"D4 A#3 G3 D#3"
19,EM7,"D#4 B3 G#3 E3"
19,FM7,"E4 C4 A3 F3"
19,F#FM7,"F4 C#4 A#3 F#3"
19,GM7,"F#4 D4 B3 G3"
19,G#M7,"G4 D#4 C4 G#3"
19,AM7,"G#4 E4 C#4 A3"
19,A#M7,"A4 F4 D4 A#3"
19,BM7,"A#4 F#4 D#4 B3"
20,Cm7,"A#3 G3 D#3 C3"
20,C#m7,"B3 G#3 E3 C#3"
20,Dm7,"C4 A3 F3 D3"
20,D#m7,"C#4 A#3 F#3 D#3"
20,Em7,"D4 B3 G3 E3"
20,Fm7,"D#4 C4 G#3 F3"
20,F#m7,"E4 C#4 A3 F#3"
20,Gm7,"F4 D4 A#3 G3"
20,G#m7,"F#4 D#4 B3 G#3"
20,Am7,"G4 E4 C4 A3"
20,A#m7,"G#4 F4 C#4 A#3"
20,Bm7,"A4 F#4 D4 B3"
21,CM9,"D4 B3 E3 C3"
21,C#M9,"D#4 C4 F3 C#3"
21,DM9,"E4 C#4 F#3 D3"
21,D#M9,"F4 D4 G3 D#3"
21,EM9,"F#4 D#4 G#3 E3"
21,FM9,"G4 E4 A3 F3"
21,F#M9,"G#4 F4 A#3 F#3"
21,GM9,"A4 F#4 B3 G3"
21,G#M9,"A#4 G4 C4 G#3"
